group subNo block index seqDur shortLong nTargets nIOI rhythmicVarTAG seqSTD seqMeanIOI seqSumIOI Lowbound Upbound pressedKey rt seqDuration startInterval trialDuration IOI1 IOI2 IOI3 IOI4 IOI5 IOI6 IOI7 IOI8 IOI9 
main 10.0000 1.0000 62.0000 10.0000 2.0000 10.0000 9.0000 1.0000 0.0574 0.2495 2.2456 0.0349 0.0588 b 0.1340 2.4956 1.2409 1.2326 0.2849 0.3418 0.2374 0.3122 0.1806 0.2250 0.2682 0.1708 0.2247 
main 10.0000 1.0000 51.0000 6.0000 0.0000 6.0000 5.0000 2.0000 0.0933 0.2496 1.2482 0.0906 0.1145 b 0.1610 1.4982 1.1816 1.1732 0.1680 0.3200 0.2382 0.1543 0.3677 0.0000 0.0000 0.0000 0.0000 
main 10.0000 1.0000 39.0000 9.0000 1.0000 9.0000 8.0000 2.0000 0.0962 0.2504 2.0032 0.0906 0.1145 b 0.1340 2.2532 1.1343 1.1260 0.3695 0.1520 0.1858 0.3944 0.2645 0.1558 0.1827 0.2984 0.0000 
main 10.0000 1.0000 58.0000 9.0000 1.0000 9.0000 8.0000 0.0000 0.0000 0.2500 2.0000 0.0000 0.0000 b 0.1460 2.2500 1.3448 1.3365 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.0000 
main 10.0000 1.0000 9.0000 6.0000 0.0000 6.0000 5.0000 2.0000 0.0962 0.2510 1.2548 0.0906 0.1145 b 0.1620 1.5048 1.2755 1.2672 0.3009 0.1530 0.2674 0.1568 0.3767 0.0000 0.0000 0.0000 0.0000 
main 10.0000 1.0000 41.0000 10.0000 2.0000 10.0000 9.0000 1.0000 0.0519 0.2501 2.2509 0.0349 0.0588 b 0.1580 2.5009 1.0817 1.0733 0.2616 0.2953 0.1754 0.2495 0.3068 0.2744 0.1560 0.2483 0.2836 
main 10.0000 1.0000 12.0000 7.0000 1.0000 7.0000 6.0000 2.0000 0.0925 0.2502 1.5015 0.0906 0.1145 b 0.1510 1.7515 1.3255 1.3171 0.3618 0.1674 0.3179 0.1835 0.3191 0.1518 0.0000 0.0000 0.0000 
main 10.0000 1.0000 46.0000 5.0000 0.0000 5.0000 4.0000 0.0000 0.0000 0.2500 1.0000 0.0000 0.0000 b 0.2450 1.2500 1.3096 1.3013 0.2500 0.2500 0.2500 0.2500 0.0000 0.0000 0.0000 0.0000 0.0000 
main 10.0000 1.0000 37.0000 9.0000 1.0000 9.0000 8.0000 0.0000 0.0000 0.2500 2.0000 0.0000 0.0000 b 0.1830 2.2500 1.1350 1.1267 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.0000 
main 10.0000 1.0000 25.0000 5.0000 0.0000 5.0000 4.0000 0.0000 0.0000 0.2500 1.0000 0.0000 0.0000 b 0.2240 1.2500 1.1559 1.1476 0.2500 0.2500 0.2500 0.2500 0.0000 0.0000 0.0000 0.0000 0.0000 
main 10.0000 1.0000 36.0000 8.0000 1.0000 8.0000 7.0000 2.0000 0.0946 0.2506 1.7540 0.0906 0.1145 b 0.1580 2.0040 1.1093 1.1010 0.3810 0.2409 0.3805 0.2365 0.1622 0.1955 0.1573 0.0000 0.0000 
main 10.0000 1.0000 49.0000 6.0000 0.0000 6.0000 5.0000 0.0000 0.0000 0.2500 1.2500 0.0000 0.0000 b 0.1750 1.5000 1.1774 1.1690 0.2500 0.2500 0.2500 0.2500 0.2500 0.0000 0.0000 0.0000 0.0000 
main 10.0000 1.0000 45.0000 4.0000 0.0000 4.0000 3.0000 2.0000 0.0916 0.2510 0.7531 0.0906 0.1145 b 0.2300 1.0031 1.4782 1.4698 0.1550 0.3374 0.2608 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
main 10.0000 1.0000 44.0000 4.0000 0.0000 4.0000 3.0000 1.0000 0.0570 0.2491 0.7472 0.0349 0.0588 b 0.2130 0.9972 1.0776 1.0693 0.3131 0.2301 0.2040 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
main 10.0000 1.0000 57.0000 8.0000 1.0000 8.0000 7.0000 2.0000 0.0949 0.2496 1.7474 0.0906 0.1145 b 0.2230 1.9974 1.0124 1.0041 0.3575 0.1643 0.1986 0.3775 0.1702 0.3093 0.1701 0.0000 0.0000 
main 10.0000 1.0000 11.0000 7.0000 1.0000 7.0000 6.0000 1.0000 0.0584 0.2504 1.5025 0.0349 0.0588 b 0.1590 1.7525 1.0522 1.0438 0.2972 0.2488 0.2969 0.2095 0.1553 0.2948 0.0000 0.0000 0.0000 
main 10.0000 1.0000 28.0000 6.0000 0.0000 6.0000 5.0000 0.0000 0.0000 0.2500 1.2500 0.0000 0.0000 b 0.2150 1.5000 1.0404 1.0321 0.2500 0.2500 0.2500 0.2500 0.2500 0.0000 0.0000 0.0000 0.0000 
main 10.0000 1.0000 35.0000 8.0000 1.0000 8.0000 7.0000 1.0000 0.0548 0.2501 1.7506 0.0349 0.0588 b 0.1490 2.0006 1.2532 1.2449 0.2430 0.2821 0.2496 0.1605 0.2421 0.3423 0.2310 0.0000 0.0000 
main 10.0000 1.0000 3.0000 4.0000 0.0000 4.0000 3.0000 2.0000 0.0964 0.2489 0.7467 0.0906 0.1145 b 0.2010 0.9967 1.0603 1.0520 0.1762 0.3582 0.2122 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
main 10.0000 1.0000 5.0000 5.0000 0.0000 5.0000 4.0000 1.0000 0.0538 0.2496 0.9983 0.0349 0.0588 b 0.1740 1.2483 1.2778 1.2695 0.1831 0.2454 0.3144 0.2554 0.0000 0.0000 0.0000 0.0000 0.0000 
main 10.0000 1.0000 63.0000 10.0000 2.0000 10.0000 9.0000 2.0000 0.0921 0.2502 2.2515 0.0906 0.1145 b 0.1170 2.5015 1.4411 1.4327 0.1551 0.1860 0.3377 0.2048 0.3833 0.1981 0.3878 0.1838 0.2149 
main 10.0000 1.0000 38.0000 9.0000 1.0000 9.0000 8.0000 1.0000 0.0568 0.2498 1.9986 0.0349 0.0588 b 0.1670 2.2486 1.0175 1.0091 0.3214 0.2109 0.3254 0.2277 0.2779 0.1684 0.2034 0.2635 0.0000 
main 10.0000 1.0000 6.0000 5.0000 0.0000 5.0000 4.0000 2.0000 0.1140 0.2501 1.0006 0.0906 0.1145 b 0.1990 1.2506 1.2596 1.2513 0.1553 0.3713 0.1504 0.3236 0.0000 0.0000 0.0000 0.0000 0.0000 
main 10.0000 1.0000 47.0000 5.0000 0.0000 5.0000 4.0000 1.0000 0.0454 0.2512 1.0048 0.0349 0.0588 b 0.1810 1.2548 1.3003 1.2920 0.2486 0.1923 0.3020 0.2619 0.0000 0.0000 0.0000 0.0000 0.0000 
main 10.0000 1.0000 19.0000 10.0000 2.0000 10.0000 9.0000 0.0000 0.0000 0.2500 2.2500 0.0000 0.0000 b 0.1230 2.5000 1.4142 1.4059 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 
