group subNo block index seqDur shortLong nTargets nIOI rhythmicVarTAG seqSTD seqMeanIOI seqSumIOI Lowbound Upbound pressedKey rt seqDuration startInterval trialDuration IOI1 IOI2 IOI3 IOI4 IOI5 IOI6 IOI7 IOI8 IOI9 
main 11.0000 1.0000 32.0000 7.0000 1.0000 7.0000 6.0000 1.0000 0.0562 0.2502 1.5012 0.0349 0.0588 b 0.1890 1.7512 1.1600 1.1517 0.2568 0.2124 0.1683 0.2542 0.3333 0.2763 0.0000 0.0000 0.0000 
main 11.0000 1.0000 2.0000 4.0000 0.0000 4.0000 3.0000 1.0000 0.0526 0.2486 0.7459 0.0349 0.0588 b 0.2810 0.9959 1.0282 1.0198 0.1972 0.2465 0.3023 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
main 11.0000 1.0000 9.0000 6.0000 0.0000 6.0000 5.0000 2.0000 0.0908 0.2505 1.2527 0.0906 0.1145 b 0.1600 1.5027 1.2969 1.2885 0.2683 0.2234 0.3979 0.1632 0.1998 0.0000 0.0000 0.0000 0.0000 
main 11.0000 1.0000 19.0000 10.0000 2.0000 10.0000 9.0000 0.0000 0.0000 0.2500 2.2500 0.0000 0.0000 b 0.1660 2.5000 1.4745 1.4661 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 
main 11.0000 1.0000 11.0000 7.0000 1.0000 7.0000 6.0000 1.0000 0.0566 0.2496 1.4975 0.0349 0.0588 b 0.1470 1.7475 1.3985 1.3901 0.2373 0.2876 0.2059 0.1664 0.3160 0.2842 0.0000 0.0000 0.0000 
main 11.0000 1.0000 59.0000 9.0000 1.0000 9.0000 8.0000 1.0000 0.0518 0.2500 2.0001 0.0349 0.0588 b 0.1710 2.2501 1.4822 1.4739 0.1972 0.3294 0.1830 0.2160 0.2603 0.2345 0.2729 0.3067 0.0000 
main 11.0000 1.0000 55.0000 8.0000 1.0000 8.0000 7.0000 0.0000 0.0000 0.2500 1.7500 0.0000 0.0000 b 0.1430 2.0000 1.2527 1.2443 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.0000 0.0000 
main 11.0000 1.0000 60.0000 9.0000 1.0000 9.0000 8.0000 2.0000 0.1022 0.2494 1.9954 0.0906 0.1145 b 0.1720 2.2454 1.0748 1.0665 0.1510 0.3185 0.1743 0.3986 0.1708 0.1990 0.3876 0.1956 0.0000 
main 11.0000 1.0000 46.0000 5.0000 0.0000 5.0000 4.0000 0.0000 0.0000 0.2500 1.0000 0.0000 0.0000 b 0.1700 1.2500 1.3277 1.3194 0.2500 0.2500 0.2500 0.2500 0.0000 0.0000 0.0000 0.0000 0.0000 
main 11.0000 1.0000 17.0000 9.0000 1.0000 9.0000 8.0000 1.0000 0.0545 0.2505 2.0037 0.0349 0.0588 b 0.1070 2.2537 1.0874 1.0791 0.3137 0.2606 0.2251 0.2660 0.3325 0.2320 0.1690 0.2049 0.0000 
main 11.0000 1.0000 54.0000 7.0000 1.0000 7.0000 6.0000 2.0000 0.0915 0.2507 1.5044 0.0906 0.1145 b 0.1780 1.7544 1.0041 0.9957 0.1629 0.3338 0.1911 0.3834 0.2601 0.1732 0.0000 0.0000 0.0000 
main 11.0000 1.0000 62.0000 10.0000 2.0000 10.0000 9.0000 1.0000 0.0483 0.2503 2.2529 0.0349 0.0588 b 0.1240 2.5029 1.2880 1.2796 0.2242 0.3108 0.2054 0.2316 0.3191 0.2568 0.1727 0.2845 0.2476 
main 11.0000 1.0000 44.0000 4.0000 0.0000 4.0000 3.0000 1.0000 0.0506 0.2505 0.7515 0.0349 0.0588 b 0.2240 1.0015 1.4596 1.4513 0.2393 0.2065 0.3057 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
main 11.0000 1.0000 51.0000 6.0000 0.0000 6.0000 5.0000 2.0000 0.0925 0.2491 1.2454 0.0906 0.1145 b 0.1650 1.4954 1.0178 1.0094 0.1737 0.2377 0.1732 0.3990 0.2619 0.0000 0.0000 0.0000 0.0000 
main 11.0000 1.0000 20.0000 10.0000 2.0000 10.0000 9.0000 1.0000 0.0450 0.2495 2.2453 0.0349 0.0588 b 0.1240 2.4953 1.2001 1.1918 0.2302 0.1941 0.2656 0.2939 0.1983 0.2463 0.3243 0.2125 0.2802 
