group subNo block index seqDur shortLong nTargets nIOI rhythmicVarTAG seqSTD seqMeanIOI seqSumIOI Lowbound Upbound pressedKey rt seqDuration startInterval trialDuration IOI1 IOI2 IOI3 IOI4 IOI5 IOI6 IOI7 IOI8 IOI9 
main 13.0000 1.0000 17.0000 9.0000 1.0000 9.0000 8.0000 1.0000 0.0545 0.2505 2.0037 0.0349 0.0588 b 0.1450 2.2537 1.0874 1.0791 0.3137 0.2606 0.2251 0.2660 0.3325 0.2320 0.1690 0.2049 0.0000 
main 13.0000 1.0000 18.0000 9.0000 1.0000 9.0000 8.0000 2.0000 0.0941 0.2502 2.0015 0.0906 0.1145 b 0.1640 2.2515 1.4901 1.4818 0.1510 0.1961 0.1649 0.3440 0.3787 0.2501 0.1676 0.3490 0.0000 
main 13.0000 1.0000 41.0000 10.0000 2.0000 10.0000 9.0000 1.0000 0.0521 0.2502 2.2515 0.0349 0.0588 b 0.2730 2.5015 1.2595 1.2512 0.2741 0.2433 0.1803 0.3085 0.1985 0.2793 0.2104 0.3338 0.2233 
main 13.0000 1.0000 55.0000 8.0000 1.0000 8.0000 7.0000 0.0000 0.0000 0.2500 1.7500 0.0000 0.0000 b 0.2940 2.0000 1.2146 1.2063 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.0000 0.0000 
main 13.0000 1.0000 6.0000 5.0000 0.0000 5.0000 4.0000 2.0000 0.0989 0.2509 1.0035 0.0906 0.1145 b 0.2510 1.2535 1.4019 1.3936 0.2613 0.1581 0.3849 0.1992 0.0000 0.0000 0.0000 0.0000 0.0000 
main 13.0000 1.0000 44.0000 4.0000 0.0000 4.0000 3.0000 1.0000 0.0491 0.2516 0.7549 0.0349 0.0588 b 0.1950 1.0049 1.2590 1.2507 0.3041 0.2069 0.2439 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
main 13.0000 1.0000 23.0000 4.0000 0.0000 4.0000 3.0000 1.0000 0.0521 0.2507 0.7522 0.0349 0.0588 b 0.2240 1.0022 1.1786 1.1703 0.3015 0.1973 0.2533 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
main 13.0000 1.0000 16.0000 9.0000 1.0000 9.0000 8.0000 0.0000 0.0000 0.2500 2.0000 0.0000 0.0000 b 0.1640 2.2500 1.0797 1.0714 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.0000 
main 13.0000 1.0000 9.0000 6.0000 0.0000 6.0000 5.0000 2.0000 0.0955 0.2493 1.2464 0.0906 0.1145 b 0.1890 1.4964 1.4325 1.4241 0.1953 0.3113 0.1866 0.3868 0.1664 0.0000 0.0000 0.0000 0.0000 
main 13.0000 1.0000 47.0000 5.0000 0.0000 5.0000 4.0000 1.0000 0.0529 0.2508 1.0034 0.0349 0.0588 b 0.2230 1.2534 1.0131 1.0048 0.3097 0.1845 0.2388 0.2704 0.0000 0.0000 0.0000 0.0000 0.0000 
main 13.0000 1.0000 60.0000 9.0000 1.0000 9.0000 8.0000 2.0000 0.0985 0.2502 2.0013 0.0906 0.1145 b 0.1980 2.2513 1.4106 1.4023 0.2197 0.3082 0.1600 0.3895 0.1637 0.3894 0.1652 0.2057 0.0000 
main 13.0000 1.0000 40.0000 10.0000 2.0000 10.0000 9.0000 0.0000 0.0000 0.2500 2.2500 0.0000 0.0000 b 0.1880 2.5000 1.3877 1.3794 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 
main 13.0000 1.0000 50.0000 6.0000 0.0000 6.0000 5.0000 1.0000 0.0581 0.2497 1.2484 0.0349 0.0588 b 0.2470 1.4984 1.1374 1.1290 0.3106 0.2523 0.1895 0.3035 0.1925 0.0000 0.0000 0.0000 0.0000 
main 13.0000 1.0000 30.0000 6.0000 0.0000 6.0000 5.0000 2.0000 0.0911 0.2508 1.2541 0.0906 0.1145 b 0.1760 1.5041 1.0704 1.0621 0.2282 0.1505 0.2240 0.2525 0.3989 0.0000 0.0000 0.0000 0.0000 
main 13.0000 1.0000 29.0000 6.0000 0.0000 6.0000 5.0000 1.0000 0.0533 0.2502 1.2511 0.0349 0.0588 b 0.1830 1.5011 1.1870 1.1787 0.1943 0.2827 0.3108 0.2691 0.1942 0.0000 0.0000 0.0000 0.0000 
main 13.0000 1.0000 8.0000 6.0000 0.0000 6.0000 5.0000 1.0000 0.0368 0.2504 1.2519 0.0349 0.0588 b 0.1710 1.5019 1.4526 1.4443 0.2852 0.1973 0.2463 0.2851 0.2380 0.0000 0.0000 0.0000 0.0000 
main 13.0000 1.0000 5.0000 5.0000 0.0000 5.0000 4.0000 1.0000 0.0537 0.2499 0.9995 0.0349 0.0588 b 0.2180 1.2495 1.4652 1.4569 0.2225 0.2560 0.3222 0.1988 0.0000 0.0000 0.0000 0.0000 0.0000 
main 13.0000 1.0000 14.0000 8.0000 1.0000 8.0000 7.0000 1.0000 0.0551 0.2504 1.7525 0.0349 0.0588 b 0.2110 2.0025 1.1719 1.1635 0.2423 0.1858 0.3255 0.2225 0.1918 0.3095 0.2750 0.0000 0.0000 
main 13.0000 1.0000 21.0000 10.0000 2.0000 10.0000 9.0000 2.0000 0.0923 0.2498 2.2480 0.0906 0.1145 b 0.3010 2.4980 1.3719 1.3636 0.3090 0.1612 0.2681 0.1577 0.3861 0.1686 0.2596 0.1641 0.3735 
main 13.0000 1.0000 39.0000 9.0000 1.0000 9.0000 8.0000 2.0000 0.0942 0.2496 1.9966 0.0906 0.1145 b 0.1530 2.2466 1.3729 1.3645 0.1776 0.2170 0.3892 0.1631 0.2775 0.1633 0.2190 0.3900 0.0000 
