group subNo block index seqDur shortLong nTargets nIOI rhythmicVarTAG seqSTD seqMeanIOI seqSumIOI Lowbound Upbound pressedKey rt seqDuration startInterval trialDuration IOI1 IOI2 IOI3 IOI4 IOI5 IOI6 IOI7 IOI8 IOI9 
main 1.0000 1.0000 32.0000 7.0000 1.0000 7.0000 6.0000 1.0000 0.0498 0.2499 1.4994 0.0349 0.0588 b 0.1950 1.7494 1.1506 2.9081 0.3051 0.2232 0.2751 0.1708 0.2895 0.2356 0.0000 0.0000 0.0000 
main 1.0000 1.0000 26.0000 5.0000 0.0000 5.0000 4.0000 1.0000 0.0432 0.2508 1.0031 0.0349 0.0588 b 0.2070 1.2531 1.3243 2.5787 0.2374 0.2955 0.1968 0.2735 0.0000 0.0000 0.0000 0.0000 0.0000 
main 1.0000 1.0000 61.0000 10.0000 2.0000 10.0000 9.0000 0.0000 0.0000 0.2500 2.2500 0.0000 0.0000 b 0.1550 2.5000 1.4002 3.9091 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 
main 1.0000 1.0000 21.0000 10.0000 2.0000 10.0000 9.0000 2.0000 0.0929 0.2503 2.2523 0.0906 0.1145 b 0.1610 2.5023 1.4245 3.9279 0.1616 0.3876 0.2048 0.2487 0.1809 0.3371 0.3789 0.1626 0.1900 
main 1.0000 1.0000 20.0000 10.0000 2.0000 10.0000 9.0000 1.0000 0.0532 0.2497 2.2470 0.0349 0.0588 b 1.0230 2.4970 1.0451 3.5392 0.2314 0.2583 0.1942 0.2602 0.3158 0.1881 0.2630 0.1974 0.3387 
main 1.0000 1.0000 15.0000 8.0000 1.0000 8.0000 7.0000 2.0000 0.0976 0.2505 1.7537 0.0906 0.1145 b 0.1630 2.0037 1.1640 3.1626 0.2298 0.3841 0.1574 0.1842 0.1569 0.2606 0.3807 0.0000 0.0000 
main 1.0000 1.0000 41.0000 10.0000 2.0000 10.0000 9.0000 1.0000 0.0583 0.2505 2.2548 0.0349 0.0588 b 0.1790 2.5048 1.1658 3.6638 0.2070 0.3506 0.1671 0.2626 0.1973 0.2944 0.2232 0.3025 0.2501 
main 1.0000 1.0000 44.0000 4.0000 0.0000 4.0000 3.0000 1.0000 0.0359 0.2499 0.7498 0.0349 0.0588 b 0.2520 0.9998 1.4687 2.4756 0.2113 0.2565 0.2821 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
main 1.0000 1.0000 40.0000 10.0000 2.0000 10.0000 9.0000 0.0000 0.0000 0.2500 2.2500 0.0000 0.0000 b 0.0960 2.5000 1.4274 3.9257 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 
main 1.0000 1.0000 37.0000 9.0000 1.0000 9.0000 8.0000 0.0000 0.0000 0.2500 2.0000 0.0000 0.0000 b 0.1500 2.2500 1.1839 3.4257 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.0000 
main 1.0000 1.0000 63.0000 10.0000 2.0000 10.0000 9.0000 2.0000 0.0949 0.2504 2.2539 0.0906 0.1145 b 0.1810 2.5039 1.1191 3.6129 0.3912 0.3368 0.1626 0.2103 0.1532 0.3040 0.1817 0.3527 0.1614 
main 1.0000 1.0000 36.0000 8.0000 1.0000 8.0000 7.0000 2.0000 0.0910 0.2504 1.7527 0.0906 0.1145 b 0.2200 2.0027 1.3853 3.3784 0.2133 0.2562 0.3975 0.2107 0.1643 0.3493 0.1614 0.0000 0.0000 
main 1.0000 1.0000 6.0000 5.0000 0.0000 5.0000 4.0000 2.0000 0.1063 0.2505 1.0020 0.0906 0.1145 b 0.1780 1.2520 1.2552 2.4943 0.1921 0.1503 0.2671 0.3925 0.0000 0.0000 0.0000 0.0000 0.0000 
main 1.0000 1.0000 51.0000 6.0000 0.0000 6.0000 5.0000 2.0000 0.1026 0.2503 1.2514 0.0906 0.1145 b 0.1890 1.5014 1.1330 2.6269 0.1576 0.2247 0.3442 0.3715 0.1534 0.0000 0.0000 0.0000 0.0000 
main 1.0000 1.0000 62.0000 10.0000 2.0000 10.0000 9.0000 1.0000 0.0505 0.2495 2.2452 0.0349 0.0588 b 0.1700 2.4952 1.2118 3.7207 0.2413 0.1559 0.3359 0.2955 0.2180 0.2666 0.2366 0.2646 0.2307 
main 1.0000 1.0000 59.0000 9.0000 1.0000 9.0000 8.0000 1.0000 0.0501 0.2503 2.0026 0.0349 0.0588 b 0.1640 2.2526 1.3763 3.6283 0.2000 0.3134 0.2127 0.2618 0.3291 0.2319 0.2572 0.1964 0.0000 
main 1.0000 1.0000 1.0000 4.0000 0.0000 4.0000 3.0000 0.0000 0.0000 0.2500 0.7500 0.0000 0.0000 b 0.1940 1.0000 1.1436 2.1422 0.2500 0.2500 0.2500 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
main 1.0000 1.0000 11.0000 7.0000 1.0000 7.0000 6.0000 1.0000 0.0531 0.2492 1.4950 0.0349 0.0588 b 0.1730 1.7450 1.2709 3.0206 0.2407 0.1940 0.2817 0.3173 0.1827 0.2786 0.0000 0.0000 0.0000 
main 1.0000 1.0000 23.0000 4.0000 0.0000 4.0000 3.0000 1.0000 0.0397 0.2515 0.7545 0.0349 0.0588 b 0.1830 1.0045 1.2000 2.2133 0.2321 0.2972 0.2253 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
main 1.0000 1.0000 55.0000 8.0000 1.0000 8.0000 7.0000 0.0000 0.0000 0.2500 1.7500 0.0000 0.0000 b 0.1600 2.0000 1.4464 3.4423 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.0000 0.0000 
main 1.0000 1.0000 58.0000 9.0000 1.0000 9.0000 8.0000 0.0000 0.0000 0.2500 2.0000 0.0000 0.0000 b 0.1720 2.2500 1.3878 3.6424 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.0000 
main 1.0000 1.0000 54.0000 7.0000 1.0000 7.0000 6.0000 2.0000 0.0945 0.2505 1.5030 0.0906 0.1145 b 0.1790 1.7530 1.1213 2.8786 0.2640 0.1747 0.3162 0.1882 0.3999 0.1599 0.0000 0.0000 0.0000 
main 1.0000 1.0000 19.0000 10.0000 2.0000 10.0000 9.0000 0.0000 0.0000 0.2500 2.2500 0.0000 0.0000 b 0.1700 2.5000 1.0394 3.5423 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 
main 1.0000 1.0000 49.0000 6.0000 0.0000 6.0000 5.0000 0.0000 0.0000 0.2500 1.2500 0.0000 0.0000 b 0.1750 1.5000 1.4565 2.9590 0.2500 0.2500 0.2500 0.2500 0.2500 0.0000 0.0000 0.0000 0.0000 
