group subNo block index seqDur shortLong nTargets nIOI rhythmicVarTAG seqSTD seqMeanIOI seqSumIOI Lowbound Upbound pressedKey rt seqDuration startInterval trialDuration IOI1 IOI2 IOI3 IOI4 IOI5 IOI6 IOI7 IOI8 IOI9 
main 2.0000 1.0000 20.0000 10.0000 2.0000 10.0000 9.0000 1.0000 0.0507 0.2505 2.2548 0.0349 0.0588 b 0.1570 2.5048 1.2950 3.7972 0.2786 0.2108 0.2509 0.1712 0.2710 0.1995 0.2559 0.3410 0.2760 
main 2.0000 1.0000 53.0000 7.0000 1.0000 7.0000 6.0000 1.0000 0.0430 0.2500 1.4998 0.0349 0.0588 b 0.1870 1.7498 1.4631 3.2087 0.2614 0.2885 0.1856 0.2131 0.2957 0.2554 0.0000 0.0000 0.0000 
main 2.0000 1.0000 51.0000 6.0000 0.0000 6.0000 5.0000 2.0000 0.1026 0.2499 1.2493 0.0906 0.1145 b 0.1710 1.4993 1.1824 2.6749 0.1874 0.1574 0.3738 0.1821 0.3485 0.0000 0.0000 0.0000 0.0000 
main 2.0000 1.0000 44.0000 4.0000 0.0000 4.0000 3.0000 1.0000 0.0388 0.2499 0.7497 0.0349 0.0588 b 0.1710 0.9997 1.1180 2.1084 0.2617 0.2066 0.2814 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
main 2.0000 1.0000 35.0000 8.0000 1.0000 8.0000 7.0000 1.0000 0.0556 0.2501 1.7508 0.0349 0.0588 b 0.1400 2.0008 1.0132 3.0263 0.2650 0.1619 0.3202 0.2539 0.2056 0.2354 0.3088 0.0000 0.0000 
main 2.0000 1.0000 13.0000 8.0000 1.0000 8.0000 7.0000 0.0000 0.0000 0.2500 1.7500 0.0000 0.0000 b 0.1510 2.0000 1.4192 3.4258 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.0000 0.0000 
main 2.0000 1.0000 11.0000 7.0000 1.0000 7.0000 6.0000 1.0000 0.0518 0.2499 1.4997 0.0349 0.0588 b 0.1440 1.7497 1.0961 2.8585 0.2531 0.1863 0.2496 0.3289 0.2791 0.2026 0.0000 0.0000 0.0000 
main 2.0000 1.0000 24.0000 4.0000 0.0000 4.0000 3.0000 2.0000 0.0956 0.2499 0.7498 0.0906 0.1145 b 0.2110 0.9998 1.2855 2.2920 0.3560 0.2231 0.1707 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
main 2.0000 1.0000 4.0000 5.0000 0.0000 5.0000 4.0000 0.0000 0.0000 0.2500 1.0000 0.0000 0.0000 b 0.1300 1.2500 1.4148 2.6758 0.2500 0.2500 0.2500 0.2500 0.0000 0.0000 0.0000 0.0000 0.0000 
main 2.0000 1.0000 40.0000 10.0000 2.0000 10.0000 9.0000 0.0000 0.0000 0.2500 2.2500 0.0000 0.0000 b 0.1140 2.5000 1.4636 3.9590 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 
main 2.0000 1.0000 33.0000 7.0000 1.0000 7.0000 6.0000 2.0000 0.0956 0.2499 1.4996 0.0906 0.1145 b 0.1590 1.7496 1.4301 3.1753 0.1845 0.1594 0.3953 0.3011 0.1638 0.2954 0.0000 0.0000 0.0000 
main 2.0000 1.0000 17.0000 9.0000 1.0000 9.0000 8.0000 1.0000 0.0491 0.2498 1.9982 0.0349 0.0588 b 0.1730 2.2482 1.0835 3.3404 0.2797 0.2393 0.1840 0.2605 0.1798 0.3164 0.2435 0.2950 0.0000 
main 2.0000 1.0000 8.0000 6.0000 0.0000 6.0000 5.0000 1.0000 0.0526 0.2494 1.2468 0.0349 0.0588 b 0.2070 1.4968 1.3468 2.8391 0.2775 0.3129 0.2103 0.1822 0.2639 0.0000 0.0000 0.0000 0.0000 
main 2.0000 1.0000 57.0000 8.0000 1.0000 8.0000 7.0000 2.0000 0.0945 0.2500 1.7500 0.0906 0.1145 b 0.1450 2.0000 1.4142 3.4090 0.1566 0.2241 0.3524 0.1932 0.1576 0.3969 0.2693 0.0000 0.0000 
main 2.0000 1.0000 19.0000 10.0000 2.0000 10.0000 9.0000 0.0000 0.0000 0.2500 2.2500 0.0000 0.0000 b 0.1380 2.5000 1.3719 3.8756 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 
main 2.0000 1.0000 54.0000 7.0000 1.0000 7.0000 6.0000 2.0000 0.0918 0.2501 1.5004 0.0906 0.1145 b 0.1600 1.7504 1.2423 2.9926 0.3466 0.2390 0.1501 0.3645 0.2481 0.1520 0.0000 0.0000 0.0000 
main 2.0000 1.0000 7.0000 6.0000 0.0000 6.0000 5.0000 0.0000 0.0000 0.2500 1.2500 0.0000 0.0000 b 0.1680 1.5000 1.2263 2.7257 0.2500 0.2500 0.2500 0.2500 0.2500 0.0000 0.0000 0.0000 0.0000 
main 2.0000 1.0000 21.0000 10.0000 2.0000 10.0000 9.0000 2.0000 0.0908 0.2498 2.2485 0.0906 0.1145 b 0.1500 2.4985 1.0726 3.5574 0.1561 0.3538 0.1649 0.3716 0.1883 0.2695 0.1534 0.2376 0.3533 
main 2.0000 1.0000 36.0000 8.0000 1.0000 8.0000 7.0000 2.0000 0.0940 0.2493 1.7450 0.0906 0.1145 b 0.1970 1.9950 1.1117 3.1038 0.1531 0.3713 0.1858 0.3096 0.2016 0.3583 0.1654 0.0000 0.0000 
main 2.0000 1.0000 31.0000 7.0000 1.0000 7.0000 6.0000 0.0000 0.0000 0.2500 1.5000 0.0000 0.0000 b 0.1520 1.7500 1.0284 2.7922 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.0000 0.0000 0.0000 
main 2.0000 1.0000 37.0000 9.0000 1.0000 9.0000 8.0000 0.0000 0.0000 0.2500 2.0000 0.0000 0.0000 b 0.1450 2.2500 1.2162 3.4756 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.0000 
main 2.0000 1.0000 14.0000 8.0000 1.0000 8.0000 7.0000 1.0000 0.0461 0.2502 1.7513 0.0349 0.0588 b 0.1690 2.0013 1.3019 3.3104 0.1996 0.2972 0.2443 0.2728 0.2405 0.3089 0.1879 0.0000 0.0000 
main 2.0000 1.0000 18.0000 9.0000 1.0000 9.0000 8.0000 2.0000 0.0938 0.2503 2.0024 0.0906 0.1145 b 0.1670 2.2524 1.4800 3.7449 0.3070 0.1656 0.2577 0.1954 0.1650 0.3705 0.1576 0.3835 0.0000 
main 2.0000 1.0000 38.0000 9.0000 1.0000 9.0000 8.0000 1.0000 0.0443 0.2498 1.9982 0.0349 0.0588 b 0.1600 2.2482 1.3801 3.6237 0.2030 0.2305 0.2988 0.2275 0.3031 0.2682 0.1859 0.2812 0.0000 
main 2.0000 1.0000 22.0000 4.0000 0.0000 4.0000 3.0000 0.0000 0.0000 0.2500 0.7500 0.0000 0.0000 b 0.2400 1.0000 1.3247 2.3256 0.2500 0.2500 0.2500 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
main 2.0000 1.0000 3.0000 4.0000 0.0000 4.0000 3.0000 2.0000 0.1089 0.2509 0.7526 0.0906 0.1145 b 0.1850 1.0026 1.4422 2.4450 0.2211 0.3716 0.1600 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
main 2.0000 1.0000 63.0000 10.0000 2.0000 10.0000 9.0000 2.0000 0.0907 0.2501 2.2505 0.0906 0.1145 b 0.1490 2.5005 1.3962 3.8929 0.2139 0.3393 0.2417 0.1525 0.2387 0.1665 0.3865 0.3586 0.1529 
