group subNo block index seqDur shortLong nTargets nIOI rhythmicVarTAG seqSTD seqMeanIOI seqSumIOI Lowbound Upbound pressedKey rt seqDuration startInterval trialDuration IOI1 IOI2 IOI3 IOI4 IOI5 IOI6 IOI7 IOI8 IOI9 
main 6.0000 1.0000 46.0000 5.0000 0.0000 5.0000 4.0000 0.0000 0.0000 0.2500 1.0000 0.0000 0.0000 b 0.1470 1.2500 1.2879 1.2796 0.2500 0.2500 0.2500 0.2500 0.0000 0.0000 0.0000 0.0000 0.0000 
main 6.0000 1.0000 12.0000 7.0000 1.0000 7.0000 6.0000 2.0000 0.0950 0.2503 1.5016 0.0906 0.1145 b 0.1650 1.7516 1.0792 1.0709 0.2009 0.1741 0.3784 0.1919 0.3663 0.1900 0.0000 0.0000 0.0000 
main 6.0000 1.0000 20.0000 10.0000 2.0000 10.0000 9.0000 1.0000 0.0552 0.2505 2.2545 0.0349 0.0588 b 0.1780 2.5045 1.4229 1.4146 0.2596 0.2082 0.1763 0.2976 0.1848 0.2945 0.3241 0.2937 0.2156 
main 6.0000 1.0000 61.0000 10.0000 2.0000 10.0000 9.0000 0.0000 0.0000 0.2500 2.2500 0.0000 0.0000 b 0.1400 2.5000 1.1539 1.1456 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 
main 6.0000 1.0000 35.0000 8.0000 1.0000 8.0000 7.0000 1.0000 0.0532 0.2502 1.7515 0.0349 0.0588 b 0.1470 2.0015 1.3342 1.3258 0.2522 0.1726 0.2732 0.1910 0.3232 0.2898 0.2496 0.0000 0.0000 
main 6.0000 1.0000 45.0000 4.0000 0.0000 4.0000 3.0000 2.0000 0.0924 0.2497 0.7491 0.0906 0.1145 b 0.2050 0.9991 1.4463 1.4380 0.3488 0.2343 0.1660 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
main 6.0000 1.0000 56.0000 8.0000 1.0000 8.0000 7.0000 1.0000 0.0571 0.2498 1.7485 0.0349 0.0588 b 0.1300 1.9985 1.3750 1.3666 0.1694 0.2322 0.3118 0.2786 0.1991 0.3227 0.2348 0.0000 0.0000 
main 6.0000 1.0000 49.0000 6.0000 0.0000 6.0000 5.0000 0.0000 0.0000 0.2500 1.2500 0.0000 0.0000 b 0.1670 1.5000 1.1084 1.1001 0.2500 0.2500 0.2500 0.2500 0.2500 0.0000 0.0000 0.0000 0.0000 
main 6.0000 1.0000 33.0000 7.0000 1.0000 7.0000 6.0000 2.0000 0.0986 0.2499 1.4997 0.0906 0.1145 b 0.2270 1.7497 1.1041 1.0957 0.1801 0.3726 0.2168 0.1719 0.3786 0.1796 0.0000 0.0000 0.0000 
main 6.0000 1.0000 19.0000 10.0000 2.0000 10.0000 9.0000 0.0000 0.0000 0.2500 2.2500 0.0000 0.0000 b 0.2230 2.5000 1.3953 1.3869 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 
