group subNo block index seqDur shortLong nTargets nIOI rhythmicVarTAG seqSTD seqMeanIOI seqSumIOI Lowbound Upbound pressedKey rt seqDuration startInterval trialDuration IOI1 IOI2 IOI3 IOI4 IOI5 IOI6 IOI7 IOI8 IOI9 
main 8.0000 1.0000 2.0000 4.0000 0.0000 4.0000 3.0000 1.0000 0.0550 0.2488 0.7463 0.0349 0.0588 b 0.2360 0.9963 1.4439 1.4355 0.3096 0.2024 0.2343 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
main 8.0000 1.0000 35.0000 8.0000 1.0000 8.0000 7.0000 1.0000 0.0508 0.2504 1.7531 0.0349 0.0588 b 0.1620 2.0031 1.0664 1.0581 0.2805 0.1736 0.2045 0.2926 0.2649 0.3127 0.2242 0.0000 0.0000 
main 8.0000 1.0000 34.0000 8.0000 1.0000 8.0000 7.0000 0.0000 0.0000 0.2500 1.7500 0.0000 0.0000 b 0.1450 2.0000 1.3463 1.3380 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.0000 0.0000 
main 8.0000 1.0000 28.0000 6.0000 0.0000 6.0000 5.0000 0.0000 0.0000 0.2500 1.2500 0.0000 0.0000 b 0.2190 1.5000 1.2373 1.2290 0.2500 0.2500 0.2500 0.2500 0.2500 0.0000 0.0000 0.0000 0.0000 
main 8.0000 1.0000 25.0000 5.0000 0.0000 5.0000 4.0000 0.0000 0.0000 0.2500 1.0000 0.0000 0.0000 b 0.2050 1.2500 1.1001 1.0918 0.2500 0.2500 0.2500 0.2500 0.0000 0.0000 0.0000 0.0000 0.0000 
main 8.0000 1.0000 46.0000 5.0000 0.0000 5.0000 4.0000 0.0000 0.0000 0.2500 1.0000 0.0000 0.0000 b 0.1490 1.2500 1.1275 1.1192 0.2500 0.2500 0.2500 0.2500 0.0000 0.0000 0.0000 0.0000 0.0000 
main 8.0000 1.0000 27.0000 5.0000 0.0000 5.0000 4.0000 2.0000 0.0938 0.2511 1.0042 0.0906 0.1145 b 0.1770 1.2542 1.1600 1.1517 0.1971 0.3567 0.1510 0.2994 0.0000 0.0000 0.0000 0.0000 0.0000 
main 8.0000 1.0000 38.0000 9.0000 1.0000 9.0000 8.0000 1.0000 0.0462 0.2501 2.0011 0.0349 0.0588 b 0.2170 2.2511 1.0327 1.0244 0.2487 0.1968 0.2811 0.3165 0.2376 0.1793 0.2516 0.2896 0.0000 
main 8.0000 1.0000 12.0000 7.0000 1.0000 7.0000 6.0000 2.0000 0.0957 0.2499 1.4992 0.0906 0.1145 b 0.1970 1.7492 1.3164 1.3081 0.1560 0.2352 0.1556 0.2314 0.3215 0.3995 0.0000 0.0000 0.0000 
main 8.0000 1.0000 32.0000 7.0000 1.0000 7.0000 6.0000 1.0000 0.0411 0.2496 1.4976 0.0349 0.0588 b 0.1260 1.7476 1.4507 1.4423 0.2552 0.2158 0.2893 0.1942 0.3005 0.2426 0.0000 0.0000 0.0000 
main 8.0000 1.0000 9.0000 6.0000 0.0000 6.0000 5.0000 2.0000 0.1098 0.2493 1.2466 0.0906 0.1145 b 0.2290 1.4966 1.1308 1.1224 0.2018 0.3603 0.1525 0.3749 0.1570 0.0000 0.0000 0.0000 0.0000 
main 8.0000 1.0000 51.0000 6.0000 0.0000 6.0000 5.0000 2.0000 0.0972 0.2501 1.2504 0.0906 0.1145 b 0.1900 1.5004 1.0665 1.0581 0.2123 0.3241 0.1595 0.3802 0.1743 0.0000 0.0000 0.0000 0.0000 
main 8.0000 1.0000 54.0000 7.0000 1.0000 7.0000 6.0000 2.0000 0.0949 0.2497 1.4979 0.0906 0.1145 b 0.1970 1.7479 1.3223 1.3140 0.2207 0.1908 0.3838 0.3539 0.1575 0.1914 0.0000 0.0000 0.0000 
main 8.0000 1.0000 42.0000 10.0000 2.0000 10.0000 9.0000 2.0000 0.0936 0.2495 2.2456 0.0906 0.1145 b 0.1280 2.4956 1.0677 1.0594 0.1589 0.2087 0.3884 0.1671 0.3374 0.3846 0.2072 0.1772 0.2160 
main 8.0000 1.0000 49.0000 6.0000 0.0000 6.0000 5.0000 0.0000 0.0000 0.2500 1.2500 0.0000 0.0000 b 0.2100 1.5000 1.2180 1.2097 0.2500 0.2500 0.2500 0.2500 0.2500 0.0000 0.0000 0.0000 0.0000 
main 8.0000 1.0000 47.0000 5.0000 0.0000 5.0000 4.0000 1.0000 0.0580 0.2505 1.0021 0.0349 0.0588 b 0.1780 1.2521 1.4662 1.4579 0.3033 0.2729 0.1684 0.2575 0.0000 0.0000 0.0000 0.0000 0.0000 
main 8.0000 1.0000 29.0000 6.0000 0.0000 6.0000 5.0000 1.0000 0.0469 0.2492 1.2462 0.0349 0.0588 b 0.1260 1.4962 1.2563 1.2479 0.2513 0.1928 0.2746 0.3113 0.2161 0.0000 0.0000 0.0000 0.0000 
