group subNo block index seqDur shortLong nTargets nIOI rhythmicVarTAG seqSTD seqMeanIOI seqSumIOI Lowbound Upbound pressedKey rt seqDuration startInterval trialDuration IOI1 IOI2 IOI3 IOI4 IOI5 IOI6 IOI7 IOI8 IOI9 
main 9.0000 1.0000 62.0000 10.0000 2.0000 10.0000 9.0000 1.0000 0.0533 0.2504 2.2533 0.0349 0.0588 b 0.4460 2.5033 1.0472 1.0389 0.2601 0.1652 0.2498 0.3265 0.2822 0.2150 0.2470 0.3140 0.1933 
main 9.0000 1.0000 42.0000 10.0000 2.0000 10.0000 9.0000 2.0000 0.0913 0.2505 2.2546 0.0906 0.1145 b 0.6670 2.5046 1.1736 1.1652 0.1978 0.1578 0.3860 0.1749 0.3437 0.3739 0.2341 0.2090 0.1775 
main 9.0000 1.0000 40.0000 10.0000 2.0000 10.0000 9.0000 0.0000 0.0000 0.2500 2.2500 0.0000 0.0000 NA TO 2.5000 1.2603 1.2520 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 
main 9.0000 1.0000 3.0000 4.0000 0.0000 4.0000 3.0000 2.0000 0.1121 0.2511 0.7533 0.0906 0.1145 b 0.3440 1.0033 1.3606 1.3523 0.2151 0.1614 0.3768 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
main 9.0000 1.0000 11.0000 7.0000 1.0000 7.0000 6.0000 1.0000 0.0528 0.2496 1.4977 0.0349 0.0588 b 0.1820 1.7477 1.1055 1.0971 0.2210 0.1786 0.3198 0.2692 0.2178 0.2913 0.0000 0.0000 0.0000 
main 9.0000 1.0000 18.0000 9.0000 1.0000 9.0000 8.0000 2.0000 0.1022 0.2494 1.9954 0.0906 0.1145 b 0.3190 2.2454 1.0748 1.0665 0.1510 0.3185 0.1743 0.3986 0.1708 0.1990 0.3876 0.1956 0.0000 
main 9.0000 1.0000 14.0000 8.0000 1.0000 8.0000 7.0000 1.0000 0.0439 0.2505 1.7537 0.0349 0.0588 b 0.1350 2.0037 1.0786 1.0703 0.2630 0.3108 0.2760 0.2293 0.2711 0.1746 0.2289 0.0000 0.0000 
main 9.0000 1.0000 52.0000 7.0000 1.0000 7.0000 6.0000 0.0000 0.0000 0.2500 1.5000 0.0000 0.0000 b 0.1810 1.7500 1.0250 1.0166 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.0000 0.0000 0.0000 
main 9.0000 1.0000 21.0000 10.0000 2.0000 10.0000 9.0000 2.0000 0.0965 0.2498 2.2479 0.0906 0.1145 b 0.1900 2.4979 1.2917 1.2833 0.1562 0.2364 0.2760 0.3499 0.1781 0.1515 0.3648 0.1532 0.3818 
main 9.0000 1.0000 4.0000 5.0000 0.0000 5.0000 4.0000 0.0000 0.0000 0.2500 1.0000 0.0000 0.0000 b 0.2280 1.2500 1.1144 1.1061 0.2500 0.2500 0.2500 0.2500 0.0000 0.0000 0.0000 0.0000 0.0000 
main 9.0000 1.0000 10.0000 7.0000 1.0000 7.0000 6.0000 0.0000 0.0000 0.2500 1.5000 0.0000 0.0000 b 0.1950 1.7500 1.4805 1.4722 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.0000 0.0000 0.0000 
main 9.0000 1.0000 44.0000 4.0000 0.0000 4.0000 3.0000 1.0000 0.0450 0.2491 0.7473 0.0349 0.0588 b 0.2100 0.9973 1.2729 1.2646 0.2010 0.2562 0.2901 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
main 9.0000 1.0000 47.0000 5.0000 0.0000 5.0000 4.0000 1.0000 0.0430 0.2493 0.9973 0.0349 0.0588 b 0.1590 1.2473 1.4953 1.4870 0.2686 0.2407 0.1938 0.2943 0.0000 0.0000 0.0000 0.0000 0.0000 
main 9.0000 1.0000 13.0000 8.0000 1.0000 8.0000 7.0000 0.0000 0.0000 0.2500 1.7500 0.0000 0.0000 b 0.1720 2.0000 1.4152 1.4069 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.0000 0.0000 
main 9.0000 1.0000 19.0000 10.0000 2.0000 10.0000 9.0000 0.0000 0.0000 0.2500 2.2500 0.0000 0.0000 b 0.1560 2.5000 1.1435 1.1352 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 
main 9.0000 1.0000 38.0000 9.0000 1.0000 9.0000 8.0000 1.0000 0.0545 0.2505 2.0037 0.0349 0.0588 b 0.1810 2.2537 1.0874 1.0791 0.3137 0.2606 0.2251 0.2660 0.3325 0.2320 0.1690 0.2049 0.0000 
main 9.0000 1.0000 43.0000 4.0000 0.0000 4.0000 3.0000 0.0000 0.0000 0.2500 0.7500 0.0000 0.0000 b 0.2150 1.0000 1.0499 1.0416 0.2500 0.2500 0.2500 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
main 9.0000 1.0000 26.0000 5.0000 0.0000 5.0000 4.0000 1.0000 0.0560 0.2503 1.0013 0.0349 0.0588 b 0.1970 1.2513 1.2468 1.2385 0.2442 0.3263 0.2395 0.1913 0.0000 0.0000 0.0000 0.0000 0.0000 
main 9.0000 1.0000 45.0000 4.0000 0.0000 4.0000 3.0000 2.0000 0.1006 0.2495 0.7486 0.0906 0.1145 b 0.2130 0.9986 1.3288 1.3204 0.1636 0.2248 0.3602 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
main 9.0000 1.0000 31.0000 7.0000 1.0000 7.0000 6.0000 0.0000 0.0000 0.2500 1.5000 0.0000 0.0000 b 0.1660 1.7500 1.4971 1.4888 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.0000 0.0000 0.0000 
main 9.0000 1.0000 1.0000 4.0000 0.0000 4.0000 3.0000 0.0000 0.0000 0.2500 0.7500 0.0000 0.0000 b 0.2190 1.0000 1.1764 1.1681 0.2500 0.2500 0.2500 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
main 9.0000 1.0000 57.0000 8.0000 1.0000 8.0000 7.0000 2.0000 0.0986 0.2497 1.7480 0.0906 0.1145 b 0.1730 1.9980 1.1575 1.1492 0.2117 0.1529 0.3540 0.1669 0.2933 0.1718 0.3973 0.0000 0.0000 
main 9.0000 1.0000 39.0000 9.0000 1.0000 9.0000 8.0000 2.0000 0.0910 0.2495 1.9959 0.0906 0.1145 b 0.1700 2.2459 1.0877 1.0794 0.3171 0.1507 0.3361 0.2194 0.3987 0.1776 0.2332 0.1631 0.0000 
main 9.0000 1.0000 24.0000 4.0000 0.0000 4.0000 3.0000 2.0000 0.0961 0.2486 0.7459 0.0906 0.1145 b 0.3020 0.9959 1.3773 1.3690 0.3546 0.2244 0.1670 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
main 9.0000 1.0000 41.0000 10.0000 2.0000 10.0000 9.0000 1.0000 0.0561 0.2503 2.2531 0.0349 0.0588 b 0.1800 2.5031 1.2398 1.2315 0.2564 0.1925 0.2242 0.2636 0.2969 0.1749 0.2421 0.3637 0.2388 
main 9.0000 1.0000 9.0000 6.0000 0.0000 6.0000 5.0000 2.0000 0.1032 0.2506 1.2528 0.0906 0.1145 b 0.2170 1.5028 1.4888 1.4804 0.1729 0.3984 0.1950 0.3191 0.1673 0.0000 0.0000 0.0000 0.0000 
main 9.0000 1.0000 55.0000 8.0000 1.0000 8.0000 7.0000 0.0000 0.0000 0.2500 1.7500 0.0000 0.0000 b 0.1850 2.0000 1.2404 1.2321 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.0000 0.0000 
main 9.0000 1.0000 29.0000 6.0000 0.0000 6.0000 5.0000 1.0000 0.0586 0.2506 1.2530 0.0349 0.0588 b 0.1720 1.5030 1.3130 1.3046 0.2800 0.2460 0.3322 0.1814 0.2134 0.0000 0.0000 0.0000 0.0000 
main 9.0000 1.0000 48.0000 5.0000 0.0000 5.0000 4.0000 2.0000 0.1036 0.2510 1.0041 0.0906 0.1145 b 0.1580 1.2541 1.0383 1.0300 0.3974 0.1911 0.2495 0.1662 0.0000 0.0000 0.0000 0.0000 0.0000 
main 9.0000 1.0000 37.0000 9.0000 1.0000 9.0000 8.0000 0.0000 0.0000 0.2500 2.0000 0.0000 0.0000 b 0.1580 2.2500 1.3922 1.3839 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.0000 
main 9.0000 1.0000 8.0000 6.0000 0.0000 6.0000 5.0000 1.0000 0.0501 0.2508 1.2541 0.0349 0.0588 b 0.2710 1.5041 1.4041 1.3958 0.1933 0.3123 0.2568 0.2838 0.2079 0.0000 0.0000 0.0000 0.0000 
