colour subNo block index seqDur seqDurTag nTargets nIOI rhythmicVarTAG seqSTD seqMeanIOI seqSumIOI stdLowbound stdUpbound pressedKey rt seqDuration startInterval trialDuration IOI1 IOI2 IOI3 IOI4 IOI5 IOI6 IOI7 IOI8 IOI9 IOI10 IOI11 IOI12 
masterclass 3.0000 1.0000 6.0000 5.0000 1.0000 5.0000 4.0000 2.0000 0.0990 0.2511 1.0045 0.0500 0.0900 m 0.1280 1.2545 1.6477 2.8969 0.2680 0.1584 0.1950 0.3830 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
masterclass 3.0000 1.0000 13.0000 11.0000 2.0000 11.0000 10.0000 0.0000 0.0000 0.2500 2.5000 0.0500 0.0900 m 0.1360 2.7500 1.6266 4.3757 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.0000 0.0000 
masterclass 3.0000 1.0000 12.0000 10.0000 2.0000 10.0000 9.0000 2.0000 0.0910 0.2500 2.2499 0.0500 0.0900 m 0.1410 2.4999 1.5639 4.0589 0.1874 0.3043 0.3817 0.1665 0.3870 0.1621 0.1926 0.2829 0.1853 0.0000 0.0000 0.0000 
masterclass 3.0000 1.0000 18.0000 12.0000 2.0000 12.0000 11.0000 2.0000 0.0936 0.2504 2.7542 0.0500 0.0900 m 0.1440 3.0042 1.6066 4.5966 0.1560 0.2666 0.3626 0.1766 0.3815 0.1665 0.3556 0.1541 0.3306 0.2507 0.1535 0.0000 
masterclass 3.0000 1.0000 8.0000 6.0000 1.0000 6.0000 5.0000 1.0000 0.0473 0.2499 1.2493 0.0500 0.0900 m 0.1520 1.4993 1.6686 3.1585 0.2631 0.3164 0.2228 0.2569 0.1902 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
masterclass 3.0000 1.0000 1.0000 4.0000 1.0000 4.0000 3.0000 0.0000 0.0000 0.2500 0.7500 0.0500 0.0900 m 0.2300 1.0000 1.6685 2.6591 0.2500 0.2500 0.2500 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
masterclass 3.0000 1.0000 17.0000 12.0000 2.0000 12.0000 11.0000 1.0000 0.0420 0.2502 2.7519 0.0500 0.0900 m 0.1260 3.0019 1.7293 4.7277 0.2190 0.2760 0.2121 0.2665 0.2138 0.2738 0.1749 0.2716 0.2464 0.3268 0.2710 0.0000 
masterclass 3.0000 1.0000 15.0000 11.0000 2.0000 11.0000 10.0000 2.0000 0.0985 0.2500 2.5002 0.0500 0.0900 m 0.1600 2.7502 1.7074 4.4425 0.3947 0.1894 0.3922 0.1976 0.1644 0.2949 0.1568 0.1991 0.3530 0.1581 0.0000 0.0000 
masterclass 3.0000 1.0000 7.0000 6.0000 1.0000 6.0000 5.0000 0.0000 0.0000 0.2500 1.2500 0.0500 0.0900 m 0.1460 1.5000 1.6718 3.1591 0.2500 0.2500 0.2500 0.2500 0.2500 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
masterclass 3.0000 1.0000 5.0000 5.0000 1.0000 5.0000 4.0000 1.0000 0.0309 0.2505 1.0022 0.0500 0.0900 m 0.2390 1.2522 1.6615 2.9113 0.2275 0.2910 0.2585 0.2252 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
