group subNo block index seqDur shortLong nTargets nIOI rhythmicVarTAG seqSTD seqMeanIOI seqSumIOI Lowbound Upbound pressedKey rt seqDuration startInterval trialDuration IOI1 IOI2 IOI3 IOI4 IOI5 IOI6 IOI7 IOI8 IOI9 
run 1.0000 1.0000 11.0000 7.0000 1.0000 7.0000 6.0000 1.0000 0.0513 0.2506 1.5034 0.0349 0.0588 m 0.1410 1.7534 1.1828 2.9290 0.3155 0.2038 0.2882 0.2260 0.1889 0.2809 0.0000 0.0000 0.0000 
run 1.0000 1.0000 13.0000 8.0000 1.0000 8.0000 7.0000 0.0000 0.0000 0.2500 1.7500 0.0000 0.0000 m 0.1580 2.0000 1.0952 3.0924 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.0000 0.0000 
run 1.0000 1.0000 38.0000 4.0000 0.0000 4.0000 3.0000 1.0000 0.0519 0.2492 0.7476 0.0349 0.0588 m 0.1550 0.9976 1.0270 2.0231 0.2920 0.2642 0.1915 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
run 1.0000 1.0000 22.0000 5.0000 0.0000 5.0000 4.0000 0.0000 0.0000 0.2500 1.0000 0.0000 0.0000 m 0.1560 1.2500 1.0805 2.3254 0.2500 0.2500 0.2500 0.2500 0.0000 0.0000 0.0000 0.0000 0.0000 
run 1.0000 1.0000 28.0000 7.0000 1.0000 7.0000 6.0000 0.0000 0.0000 0.2500 1.5000 0.0000 0.0000 m 0.1370 1.7500 1.0544 2.7922 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.0000 0.0000 0.0000 
run 1.0000 1.0000 53.0000 9.0000 1.0000 9.0000 8.0000 1.0000 0.0530 0.2496 1.9972 0.0349 0.0588 m 0.1710 2.2472 1.0954 3.3393 0.2985 0.2317 0.2684 0.2291 0.1517 0.2870 0.3139 0.2169 0.0000 
run 1.0000 1.0000 37.0000 4.0000 0.0000 4.0000 3.0000 0.0000 0.0000 0.2500 0.7500 0.0000 0.0000 m 0.1650 1.0000 1.0633 2.0587 0.2500 0.2500 0.2500 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
run 1.0000 1.0000 10.0000 7.0000 1.0000 7.0000 6.0000 0.0000 0.0000 0.2500 1.5000 0.0000 0.0000 m 0.1340 1.7500 1.1570 2.8921 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.0000 0.0000 0.0000 
run 1.0000 1.0000 35.0000 9.0000 1.0000 9.0000 8.0000 1.0000 0.0584 0.2497 1.9979 0.0349 0.0588 m 0.1450 2.2479 1.4322 3.6734 0.2572 0.3163 0.2761 0.3199 0.2039 0.1538 0.2034 0.2672 0.0000 
run 1.0000 1.0000 51.0000 8.0000 1.0000 8.0000 7.0000 2.0000 0.0940 0.2493 1.7450 0.0906 0.1145 m 0.1700 1.9950 1.1117 3.1037 0.1531 0.3713 0.1858 0.3096 0.2016 0.3583 0.1654 0.0000 0.0000 
run 1.0000 1.0000 5.0000 5.0000 0.0000 5.0000 4.0000 1.0000 0.0550 0.2497 0.9989 0.0349 0.0588 m 0.2330 1.2489 1.3227 2.5577 0.2742 0.3133 0.2223 0.1891 0.0000 0.0000 0.0000 0.0000 0.0000 
run 1.0000 1.0000 14.0000 8.0000 1.0000 8.0000 7.0000 1.0000 0.0534 0.2497 1.7479 0.0349 0.0588 m 0.1550 1.9979 1.3866 3.3735 0.2084 0.3400 0.2005 0.2955 0.2203 0.2710 0.2122 0.0000 0.0000 
run 1.0000 1.0000 36.0000 9.0000 1.0000 9.0000 8.0000 2.0000 0.0938 0.2503 2.0024 0.0906 0.1145 m 0.2020 2.2524 1.4800 3.7281 0.3070 0.1656 0.2577 0.1954 0.1650 0.3705 0.1576 0.3835 0.0000 
run 1.0000 1.0000 26.0000 6.0000 0.0000 6.0000 5.0000 1.0000 0.0563 0.2504 1.2519 0.0349 0.0588 m 0.1660 1.5019 1.2605 2.7609 0.2955 0.2525 0.3131 0.1776 0.2131 0.0000 0.0000 0.0000 0.0000 
run 1.0000 1.0000 50.0000 8.0000 1.0000 8.0000 7.0000 1.0000 0.0582 0.2494 1.7456 0.0349 0.0588 m 0.1770 1.9956 1.0320 3.0211 0.2273 0.2566 0.2998 0.2170 0.3302 0.1520 0.2627 0.0000 0.0000 
run 1.0000 1.0000 1.0000 4.0000 0.0000 4.0000 3.0000 0.0000 0.0000 0.2500 0.7500 0.0000 0.0000 m 0.2380 1.0000 1.0026 1.9922 0.2500 0.2500 0.2500 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
run 1.0000 1.0000 43.0000 6.0000 0.0000 6.0000 5.0000 0.0000 0.0000 0.2500 1.2500 0.0000 0.0000 m 0.1300 1.5000 1.0809 2.5755 0.2500 0.2500 0.2500 0.2500 0.2500 0.0000 0.0000 0.0000 0.0000 
run 1.0000 1.0000 39.0000 4.0000 0.0000 4.0000 3.0000 2.0000 0.1020 0.2496 0.7487 0.0906 0.1145 m 0.1910 0.9987 1.4791 2.4743 0.1563 0.2340 0.3585 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
run 1.0000 1.0000 27.0000 6.0000 0.0000 6.0000 5.0000 2.0000 0.0938 0.2500 1.2501 0.0906 0.1145 m 0.1630 1.5001 1.4738 2.9592 0.1607 0.3158 0.2282 0.1693 0.3761 0.0000 0.0000 0.0000 0.0000 
run 1.0000 1.0000 54.0000 9.0000 1.0000 9.0000 8.0000 2.0000 0.0936 0.2495 1.9964 0.0906 0.1145 m 0.1640 2.2464 1.0586 3.3052 0.1672 0.3456 0.1635 0.3919 0.1618 0.2884 0.1749 0.3030 0.0000 
run 1.0000 1.0000 52.0000 9.0000 1.0000 9.0000 8.0000 0.0000 0.0000 0.2500 2.0000 0.0000 0.0000 m 0.1800 2.2500 1.0801 3.3255 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.0000 
run 1.0000 1.0000 31.0000 8.0000 1.0000 8.0000 7.0000 0.0000 0.0000 0.2500 1.7500 0.0000 0.0000 m 0.1420 2.0000 1.2593 3.2590 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.0000 0.0000 
run 1.0000 1.0000 45.0000 6.0000 0.0000 6.0000 5.0000 2.0000 0.0991 0.2500 1.2498 0.0906 0.1145 m 0.1770 1.4998 1.0005 2.4920 0.2840 0.1572 0.2511 0.1608 0.3967 0.0000 0.0000 0.0000 0.0000 
run 1.0000 1.0000 16.0000 9.0000 1.0000 9.0000 8.0000 0.0000 0.0000 0.2500 2.0000 0.0000 0.0000 m 0.1470 2.2500 1.3990 3.6424 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.0000 
run 1.0000 1.0000 23.0000 5.0000 0.0000 5.0000 4.0000 1.0000 0.0494 0.2495 0.9979 0.0349 0.0588 m 0.1960 1.2479 1.0913 2.3233 0.3003 0.2002 0.2827 0.2147 0.0000 0.0000 0.0000 0.0000 0.0000 
run 1.0000 1.0000 4.0000 5.0000 0.0000 5.0000 4.0000 0.0000 0.0000 0.2500 1.0000 0.0000 0.0000 m 0.1550 1.2500 1.4902 2.7258 0.2500 0.2500 0.2500 0.2500 0.0000 0.0000 0.0000 0.0000 0.0000 
run 1.0000 1.0000 17.0000 9.0000 1.0000 9.0000 8.0000 1.0000 0.0568 0.2498 1.9982 0.0349 0.0588 m 0.1360 2.2482 1.3789 3.6239 0.3294 0.2376 0.1965 0.2608 0.2884 0.1912 0.3113 0.1829 0.0000 
run 1.0000 1.0000 12.0000 7.0000 1.0000 7.0000 6.0000 2.0000 0.0923 0.2506 1.5034 0.0906 0.1145 m 0.1570 1.7534 1.2289 2.9789 0.2346 0.3891 0.1921 0.1545 0.1958 0.3372 0.0000 0.0000 0.0000 
run 1.0000 1.0000 25.0000 6.0000 0.0000 6.0000 5.0000 0.0000 0.0000 0.2500 1.2500 0.0000 0.0000 m 0.1780 1.5000 1.3160 2.8090 0.2500 0.2500 0.2500 0.2500 0.2500 0.0000 0.0000 0.0000 0.0000 
run 1.0000 1.0000 2.0000 4.0000 0.0000 4.0000 3.0000 1.0000 0.0389 0.2485 0.7455 0.0349 0.0588 m 0.2010 0.9955 1.3720 2.3545 0.2876 0.2099 0.2479 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
run 1.0000 1.0000 15.0000 8.0000 1.0000 8.0000 7.0000 2.0000 0.0948 0.2498 1.7488 0.0906 0.1145 m 0.1560 1.9988 1.0162 3.0075 0.1581 0.3935 0.3134 0.1666 0.3155 0.1517 0.2500 0.0000 0.0000 
run 1.0000 1.0000 49.0000 8.0000 1.0000 8.0000 7.0000 0.0000 0.0000 0.2500 1.7500 0.0000 0.0000 m 0.1760 2.0000 1.4578 3.4423 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.0000 0.0000 
run 1.0000 1.0000 47.0000 7.0000 1.0000 7.0000 6.0000 1.0000 0.0552 0.2503 1.5016 0.0349 0.0588 m 0.1890 1.7516 1.4645 3.2108 0.3241 0.2368 0.3042 0.1820 0.2497 0.2048 0.0000 0.0000 0.0000 
run 1.0000 1.0000 9.0000 6.0000 0.0000 6.0000 5.0000 2.0000 0.0937 0.2492 1.2460 0.0906 0.1145 m 0.1590 1.4960 1.3326 2.8216 0.3702 0.1991 0.3285 0.1605 0.1877 0.0000 0.0000 0.0000 0.0000 
run 1.0000 1.0000 42.0000 5.0000 0.0000 5.0000 4.0000 2.0000 0.0938 0.2511 1.0043 0.0906 0.1145 m 0.1580 1.2543 1.1087 2.3633 0.3887 0.2261 0.1792 0.2103 0.0000 0.0000 0.0000 0.0000 0.0000 
run 1.0000 1.0000 18.0000 9.0000 1.0000 9.0000 8.0000 2.0000 0.0935 0.2505 2.0036 0.0906 0.1145 m 0.1750 2.2536 1.4932 3.7461 0.1530 0.2020 0.2890 0.3951 0.3558 0.1677 0.2806 0.1603 0.0000 
run 1.0000 1.0000 6.0000 5.0000 0.0000 5.0000 4.0000 2.0000 0.1066 0.2499 0.9995 0.0906 0.1145 m 0.1620 1.2495 1.2208 2.4585 0.2758 0.1608 0.3898 0.1732 0.0000 0.0000 0.0000 0.0000 0.0000 
run 1.0000 1.0000 48.0000 7.0000 1.0000 7.0000 6.0000 2.0000 0.0957 0.2506 1.5033 0.0906 0.1145 m 0.2720 1.7533 1.0311 2.7789 0.1746 0.3319 0.1557 0.2087 0.4000 0.2324 0.0000 0.0000 0.0000 
run 1.0000 1.0000 30.0000 7.0000 1.0000 7.0000 6.0000 2.0000 0.1012 0.2496 1.4975 0.0906 0.1145 m 0.1670 1.7475 1.4759 3.2232 0.1881 0.3795 0.1610 0.3734 0.1662 0.2294 0.0000 0.0000 0.0000 
run 1.0000 1.0000 32.0000 8.0000 1.0000 8.0000 7.0000 1.0000 0.0552 0.2504 1.7527 0.0349 0.0588 m 0.1600 2.0027 1.0737 3.0615 0.2620 0.3303 0.2444 0.1834 0.3112 0.2249 0.1965 0.0000 0.0000 
run 1.0000 1.0000 40.0000 5.0000 0.0000 5.0000 4.0000 0.0000 0.0000 0.2500 1.0000 0.0000 0.0000 m 0.2580 1.2500 1.4665 2.7091 0.2500 0.2500 0.2500 0.2500 0.0000 0.0000 0.0000 0.0000 0.0000 
run 1.0000 1.0000 19.0000 4.0000 0.0000 4.0000 3.0000 0.0000 0.0000 0.2500 0.7500 0.0000 0.0000 m 0.1820 1.0000 1.3660 2.3591 0.2500 0.2500 0.2500 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
run 1.0000 1.0000 29.0000 7.0000 1.0000 7.0000 6.0000 1.0000 0.0562 0.2498 1.4987 0.0349 0.0588 m 0.1590 1.7487 1.4927 3.2411 0.2604 0.1825 0.3412 0.2347 0.2744 0.2055 0.0000 0.0000 0.0000 
run 1.0000 1.0000 46.0000 7.0000 1.0000 7.0000 6.0000 0.0000 0.0000 0.2500 1.5000 0.0000 0.0000 m 0.1940 1.7500 1.3304 3.0754 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.0000 0.0000 0.0000 
run 1.0000 1.0000 41.0000 5.0000 0.0000 5.0000 4.0000 1.0000 0.0484 0.2505 1.0022 0.0349 0.0588 m 0.2170 1.2522 1.0897 2.3278 0.2981 0.1981 0.2846 0.2214 0.0000 0.0000 0.0000 0.0000 0.0000 
run 1.0000 1.0000 7.0000 6.0000 0.0000 6.0000 5.0000 0.0000 0.0000 0.2500 1.2500 0.0000 0.0000 m 0.2150 1.5000 1.4224 2.9090 0.2500 0.2500 0.2500 0.2500 0.2500 0.0000 0.0000 0.0000 0.0000 
run 1.0000 1.0000 8.0000 6.0000 0.0000 6.0000 5.0000 1.0000 0.0575 0.2498 1.2489 0.0349 0.0588 m 0.1970 1.4989 1.0732 2.5577 0.2732 0.2990 0.2024 0.2993 0.1750 0.0000 0.0000 0.0000 0.0000 
run 1.0000 1.0000 21.0000 4.0000 0.0000 4.0000 3.0000 2.0000 0.1027 0.2491 0.7472 0.0906 0.1145 m 0.1610 0.9972 1.3992 2.3896 0.3553 0.2414 0.1504 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
run 1.0000 1.0000 33.0000 8.0000 1.0000 8.0000 7.0000 2.0000 0.0928 0.2500 1.7503 0.0906 0.1145 m 0.1640 2.0003 1.0446 3.0424 0.1789 0.3533 0.1562 0.2585 0.1925 0.3994 0.2114 0.0000 0.0000 
run 1.0000 1.0000 20.0000 4.0000 0.0000 4.0000 3.0000 1.0000 0.0578 0.2508 0.7524 0.0349 0.0588 m 0.1510 1.0024 1.4802 2.4782 0.2237 0.3171 0.2116 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
run 1.0000 1.0000 34.0000 9.0000 1.0000 9.0000 8.0000 0.0000 0.0000 0.2500 2.0000 0.0000 0.0000 m 0.1880 2.2500 1.1442 3.3924 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.0000 
run 1.0000 1.0000 24.0000 5.0000 0.0000 5.0000 4.0000 2.0000 0.1016 0.2507 1.0028 0.0906 0.1145 m 0.1530 1.2528 1.3376 2.5785 0.1849 0.3885 0.2649 0.1645 0.0000 0.0000 0.0000 0.0000 0.0000 
run 1.0000 1.0000 44.0000 6.0000 0.0000 6.0000 5.0000 1.0000 0.0564 0.2503 1.2516 0.0349 0.0588 m 0.2300 1.5016 1.3133 2.8107 0.2700 0.1670 0.2729 0.2260 0.3158 0.0000 0.0000 0.0000 0.0000 
run 1.0000 1.0000 3.0000 4.0000 0.0000 4.0000 3.0000 2.0000 0.0999 0.2488 0.7463 0.0906 0.1145 m 0.2040 0.9963 1.3634 2.3554 0.2349 0.3548 0.1566 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
run 1.0000 2.0000 34.0000 9.0000 1.0000 9.0000 8.0000 0.0000 0.0000 0.2500 2.0000 0.0000 0.0000 m 0.1490 2.2500 1.1930 3.4422 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.0000 
run 1.0000 2.0000 37.0000 4.0000 0.0000 4.0000 3.0000 0.0000 0.0000 0.2500 0.7500 0.0000 0.0000 m 0.1480 1.0000 1.2052 2.1921 0.2500 0.2500 0.2500 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
