group subNo block index seqDur shortLong nTargets nIOI rhythmicVarTAG seqSTD seqMeanIOI seqSumIOI Lowbound Upbound pressedKey rt seqDuration startInterval trialDuration IOI1 IOI2 IOI3 IOI4 IOI5 IOI6 IOI7 IOI8 IOI9 
run 2.0000 1.0000 33.0000 7.0000 1.0000 7.0000 6.0000 2.0000 0.0924 0.2492 1.4952 0.0906 0.1145 m 0.1460 1.7452 1.0675 2.8042 0.2634 0.2338 0.1543 0.2893 0.3998 0.1546 0.0000 0.0000 0.0000 
run 2.0000 1.0000 39.0000 9.0000 1.0000 9.0000 8.0000 2.0000 0.1022 0.2494 1.9954 0.0906 0.1145 m 0.1580 2.2454 1.0748 3.3042 0.1510 0.3185 0.1743 0.3986 0.1708 0.1990 0.3876 0.1956 0.0000 
run 2.0000 1.0000 42.0000 10.0000 2.0000 10.0000 9.0000 2.0000 0.0950 0.2496 2.2463 0.0906 0.1145 m 0.1830 2.4963 1.4902 3.9719 0.2104 0.1812 0.3863 0.1637 0.2650 0.3883 0.1773 0.3231 0.1508 
run 2.0000 1.0000 62.0000 10.0000 2.0000 10.0000 9.0000 1.0000 0.0572 0.2504 2.2539 0.0349 0.0588 m 0.1720 2.5039 1.2457 3.7461 0.3605 0.3078 0.2303 0.2584 0.1916 0.2485 0.2078 0.2671 0.1819 
run 2.0000 1.0000 32.0000 7.0000 1.0000 7.0000 6.0000 1.0000 0.0428 0.2501 1.5005 0.0349 0.0588 m 0.1450 1.7505 1.4482 3.1929 0.2739 0.1958 0.3004 0.2285 0.2874 0.2145 0.0000 0.0000 0.0000 
run 2.0000 1.0000 51.0000 6.0000 0.0000 6.0000 5.0000 2.0000 0.1140 0.2505 1.2526 0.0906 0.1145 m 0.1490 1.5026 1.1410 2.6283 0.1763 0.3731 0.1625 0.3773 0.1635 0.0000 0.0000 0.0000 0.0000 
run 2.0000 1.0000 47.0000 5.0000 0.0000 5.0000 4.0000 1.0000 0.0366 0.2493 0.9974 0.0349 0.0588 m 0.1550 1.2474 1.1852 2.4228 0.2013 0.2573 0.2900 0.2488 0.0000 0.0000 0.0000 0.0000 0.0000 
run 2.0000 1.0000 18.0000 9.0000 1.0000 9.0000 8.0000 2.0000 0.0915 0.2501 2.0004 0.0906 0.1145 m 0.1480 2.2504 1.2417 3.4760 0.2659 0.1787 0.3638 0.1912 0.1510 0.3813 0.3026 0.1660 0.0000 
run 2.0000 1.0000 37.0000 9.0000 1.0000 9.0000 8.0000 0.0000 0.0000 0.2500 2.0000 0.0000 0.0000 m 0.1690 2.2500 1.1158 3.3589 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.0000 
run 2.0000 1.0000 55.0000 8.0000 1.0000 8.0000 7.0000 0.0000 0.0000 0.2500 1.7500 0.0000 0.0000 m 0.1450 2.0000 1.1652 3.1591 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.0000 0.0000 
run 2.0000 1.0000 34.0000 8.0000 1.0000 8.0000 7.0000 0.0000 0.0000 0.2500 1.7500 0.0000 0.0000 m 0.1780 2.0000 1.1217 3.1090 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.0000 0.0000 
run 2.0000 1.0000 4.0000 5.0000 0.0000 5.0000 4.0000 0.0000 0.0000 0.2500 1.0000 0.0000 0.0000 m 0.1380 1.2500 1.0682 2.3090 0.2500 0.2500 0.2500 0.2500 0.0000 0.0000 0.0000 0.0000 0.0000 
run 2.0000 1.0000 25.0000 5.0000 0.0000 5.0000 4.0000 0.0000 0.0000 0.2500 1.0000 0.0000 0.0000 m 0.1320 1.2500 1.2678 2.5090 0.2500 0.2500 0.2500 0.2500 0.0000 0.0000 0.0000 0.0000 0.0000 
run 2.0000 1.0000 59.0000 9.0000 1.0000 9.0000 8.0000 1.0000 0.0580 0.2495 1.9962 0.0349 0.0588 m 0.1830 2.2462 1.0586 3.3052 0.2348 0.2760 0.2377 0.1879 0.2566 0.2818 0.3538 0.1676 0.0000 
run 2.0000 1.0000 45.0000 4.0000 0.0000 4.0000 3.0000 2.0000 0.1056 0.2497 0.7490 0.0906 0.1145 m 0.1650 0.9990 1.3297 2.3245 0.2136 0.3686 0.1669 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
run 2.0000 1.0000 52.0000 7.0000 1.0000 7.0000 6.0000 0.0000 0.0000 0.2500 1.5000 0.0000 0.0000 m 0.1740 1.7500 1.3520 3.0922 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.0000 0.0000 0.0000 
run 2.0000 1.0000 7.0000 6.0000 0.0000 6.0000 5.0000 0.0000 0.0000 0.2500 1.2500 0.0000 0.0000 m 0.1600 1.5000 1.1658 2.6590 0.2500 0.2500 0.2500 0.2500 0.2500 0.0000 0.0000 0.0000 0.0000 
run 2.0000 1.0000 10.0000 7.0000 1.0000 7.0000 6.0000 0.0000 0.0000 0.2500 1.5000 0.0000 0.0000 m 0.1660 1.7500 1.0632 2.8088 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.0000 0.0000 0.0000 
run 2.0000 1.0000 23.0000 4.0000 0.0000 4.0000 3.0000 1.0000 0.0521 0.2506 0.7517 0.0349 0.0588 m 0.1600 1.0017 1.4636 2.4607 0.2946 0.1930 0.2640 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
run 2.0000 1.0000 11.0000 7.0000 1.0000 7.0000 6.0000 1.0000 0.0576 0.2503 1.5016 0.0349 0.0588 m 0.1690 1.7516 1.1713 2.9105 0.1933 0.2438 0.2085 0.3402 0.2987 0.2172 0.0000 0.0000 0.0000 
run 2.0000 1.0000 57.0000 8.0000 1.0000 8.0000 7.0000 2.0000 0.0999 0.2507 1.7548 0.0906 0.1145 m 0.1610 2.0048 1.0993 3.0971 0.1657 0.2019 0.3033 0.1566 0.3608 0.1726 0.3938 0.0000 0.0000 
run 2.0000 1.0000 50.0000 6.0000 0.0000 6.0000 5.0000 1.0000 0.0368 0.2498 1.2489 0.0349 0.0588 m 0.1570 1.4989 1.3596 2.8578 0.2379 0.2725 0.2323 0.2060 0.3002 0.0000 0.0000 0.0000 0.0000 
run 2.0000 1.0000 26.0000 5.0000 0.0000 5.0000 4.0000 1.0000 0.0490 0.2503 1.0013 0.0349 0.0588 m 0.1900 1.2513 1.3250 2.5600 0.3095 0.2338 0.2644 0.1936 0.0000 0.0000 0.0000 0.0000 0.0000 
run 2.0000 1.0000 15.0000 8.0000 1.0000 8.0000 7.0000 2.0000 0.0909 0.2497 1.7480 0.0906 0.1145 m 0.1310 1.9980 1.0924 3.0904 0.3865 0.1604 0.2122 0.1697 0.2976 0.1818 0.3399 0.0000 0.0000 
run 2.0000 1.0000 19.0000 10.0000 2.0000 10.0000 9.0000 0.0000 0.0000 0.2500 2.2500 0.0000 0.0000 m 0.1630 2.5000 1.0515 3.5422 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 
run 2.0000 1.0000 38.0000 9.0000 1.0000 9.0000 8.0000 1.0000 0.0513 0.2504 2.0031 0.0349 0.0588 m 0.1480 2.2531 1.1898 3.4288 0.2766 0.2246 0.1755 0.3490 0.2600 0.2205 0.2680 0.2289 0.0000 
run 2.0000 1.0000 46.0000 5.0000 0.0000 5.0000 4.0000 0.0000 0.0000 0.2500 1.0000 0.0000 0.0000 m 0.1450 1.2500 1.3959 2.6425 0.2500 0.2500 0.2500 0.2500 0.0000 0.0000 0.0000 0.0000 0.0000 
run 2.0000 1.0000 13.0000 8.0000 1.0000 8.0000 7.0000 0.0000 0.0000 0.2500 1.7500 0.0000 0.0000 m 0.1500 2.0000 1.4212 3.4090 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.0000 0.0000 
run 2.0000 1.0000 36.0000 8.0000 1.0000 8.0000 7.0000 2.0000 0.0983 0.2503 1.7519 0.0906 0.1145 m 0.1680 2.0019 1.3089 3.3107 0.3220 0.3523 0.1765 0.3824 0.1535 0.2047 0.1604 0.0000 0.0000 
run 2.0000 1.0000 21.0000 10.0000 2.0000 10.0000 9.0000 2.0000 0.0923 0.2498 2.2480 0.0906 0.1145 m 0.1830 2.4980 1.3719 3.8569 0.3090 0.1612 0.2681 0.1577 0.3861 0.1686 0.2596 0.1641 0.3735 
run 2.0000 1.0000 63.0000 10.0000 2.0000 10.0000 9.0000 2.0000 0.0941 0.2503 2.2525 0.0906 0.1145 m 0.1570 2.5025 1.4221 3.9114 0.2635 0.3426 0.2346 0.3795 0.1510 0.3734 0.1786 0.1504 0.1790 
run 2.0000 1.0000 16.0000 9.0000 1.0000 9.0000 8.0000 0.0000 0.0000 0.2500 2.0000 0.0000 0.0000 m 0.1820 2.2500 1.4445 3.6925 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.0000 
run 2.0000 1.0000 58.0000 9.0000 1.0000 9.0000 8.0000 0.0000 0.0000 0.2500 2.0000 0.0000 0.0000 m 0.1420 2.2500 1.2610 3.5088 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.0000 
run 2.0000 1.0000 60.0000 9.0000 1.0000 9.0000 8.0000 2.0000 0.0941 0.2498 1.9987 0.0906 0.1145 m 0.2140 2.2487 1.0849 3.3240 0.1709 0.3929 0.1868 0.3782 0.2920 0.2341 0.1901 0.1536 0.0000 
run 2.0000 1.0000 9.0000 6.0000 0.0000 6.0000 5.0000 2.0000 0.0910 0.2496 1.2482 0.0906 0.1145 m 0.1780 1.4982 1.2931 2.7906 0.3803 0.1916 0.3091 0.1985 0.1687 0.0000 0.0000 0.0000 0.0000 
run 2.0000 1.0000 56.0000 8.0000 1.0000 8.0000 7.0000 1.0000 0.0577 0.2494 1.7457 0.0349 0.0588 m 0.1490 1.9957 1.4444 3.4380 0.2470 0.1777 0.2136 0.2855 0.2018 0.2739 0.3463 0.0000 0.0000 
