group subNo block index seqDur shortLong nTargets nIOI rhythmicVarTAG seqSTD seqMeanIOI seqSumIOI Lowbound Upbound pressedKey rt seqDuration startInterval trialDuration IOI1 IOI2 IOI3 IOI4 IOI5 IOI6 IOI7 IOI8 IOI9 
main 7.0000 1.0000 30.0000 6.0000 0.0000 6.0000 5.0000 2.0000 0.0999 0.2500 1.2501 0.0906 0.1145 b 0.1510 1.5001 1.4167 1.4084 0.3303 0.3771 0.1532 0.2252 0.1643 0.0000 0.0000 0.0000 0.0000 
main 7.0000 1.0000 53.0000 7.0000 1.0000 7.0000 6.0000 1.0000 0.0506 0.2504 1.5024 0.0349 0.0588 b 0.1560 1.7524 1.2407 1.2323 0.1993 0.3307 0.2342 0.2693 0.1984 0.2705 0.0000 0.0000 0.0000 
main 7.0000 1.0000 28.0000 6.0000 0.0000 6.0000 5.0000 0.0000 0.0000 0.2500 1.2500 0.0000 0.0000 b 0.1280 1.5000 1.3446 1.3362 0.2500 0.2500 0.2500 0.2500 0.2500 0.0000 0.0000 0.0000 0.0000 
main 7.0000 1.0000 1.0000 4.0000 0.0000 4.0000 3.0000 0.0000 0.0000 0.2500 0.7500 0.0000 0.0000 b 0.2560 1.0000 1.4040 1.3957 0.2500 0.2500 0.2500 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
main 7.0000 1.0000 61.0000 10.0000 2.0000 10.0000 9.0000 0.0000 0.0000 0.2500 2.2500 0.0000 0.0000 NA E 2.5000 1.1807 1.1724 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 
main 7.0000 1.0000 20.0000 10.0000 2.0000 10.0000 9.0000 1.0000 0.0587 0.2497 2.2475 0.0349 0.0588 b 0.1670 2.4975 1.4106 1.4022 0.2171 0.3315 0.2369 0.2054 0.1670 0.1999 0.2780 0.3308 0.2810 
main 7.0000 1.0000 26.0000 5.0000 0.0000 5.0000 4.0000 1.0000 0.0478 0.2497 0.9989 0.0349 0.0588 b 0.3570 1.2489 1.0792 1.0708 0.2287 0.1941 0.3021 0.2740 0.0000 0.0000 0.0000 0.0000 0.0000 
main 7.0000 1.0000 32.0000 7.0000 1.0000 7.0000 6.0000 1.0000 0.0424 0.2500 1.5003 0.0349 0.0588 b 0.1960 1.7503 1.1486 1.1402 0.3021 0.2396 0.2800 0.2321 0.2651 0.1814 0.0000 0.0000 0.0000 
main 7.0000 1.0000 38.0000 9.0000 1.0000 9.0000 8.0000 1.0000 0.0581 0.2497 1.9973 0.0349 0.0588 b 0.1660 2.2473 1.1609 1.1526 0.2795 0.2366 0.2807 0.3505 0.1553 0.2595 0.2037 0.2315 0.0000 
main 7.0000 1.0000 15.0000 8.0000 1.0000 8.0000 7.0000 2.0000 0.0936 0.2505 1.7536 0.0906 0.1145 b 0.2020 2.0036 1.3449 1.3366 0.3325 0.1888 0.1502 0.3363 0.1995 0.3756 0.1707 0.0000 0.0000 
main 7.0000 1.0000 56.0000 8.0000 1.0000 8.0000 7.0000 1.0000 0.0585 0.2507 1.7547 0.0349 0.0588 b 0.6900 2.0047 1.0773 1.0690 0.3103 0.2797 0.2388 0.1559 0.1971 0.2584 0.3146 0.0000 0.0000 
main 7.0000 1.0000 35.0000 8.0000 1.0000 8.0000 7.0000 1.0000 0.0498 0.2497 1.7476 0.0349 0.0588 b 0.1990 1.9976 1.1870 1.1787 0.1854 0.2233 0.3114 0.2460 0.3117 0.2661 0.2037 0.0000 0.0000 
main 7.0000 1.0000 27.0000 5.0000 0.0000 5.0000 4.0000 2.0000 0.0970 0.2490 0.9962 0.0906 0.1145 b 0.2660 1.2462 1.3151 1.3067 0.2385 0.2130 0.3858 0.1589 0.0000 0.0000 0.0000 0.0000 0.0000 
main 7.0000 1.0000 19.0000 10.0000 2.0000 10.0000 9.0000 0.0000 0.0000 0.2500 2.2500 0.0000 0.0000 b 0.2170 2.5000 1.1355 1.1272 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 
main 7.0000 1.0000 8.0000 6.0000 0.0000 6.0000 5.0000 1.0000 0.0436 0.2494 1.2469 0.0349 0.0588 b 0.2600 1.4969 1.0787 1.0703 0.2912 0.1834 0.2336 0.2844 0.2543 0.0000 0.0000 0.0000 0.0000 
main 7.0000 1.0000 50.0000 6.0000 0.0000 6.0000 5.0000 1.0000 0.0487 0.2499 1.2493 0.0349 0.0588 b 0.3470 1.4993 1.1612 1.1529 0.2167 0.3099 0.2795 0.1877 0.2554 0.0000 0.0000 0.0000 0.0000 
main 7.0000 1.0000 17.0000 9.0000 1.0000 9.0000 8.0000 1.0000 0.0511 0.2496 1.9964 0.0349 0.0588 b 0.3380 2.2464 1.4924 1.4840 0.2173 0.2797 0.3123 0.1896 0.2963 0.1939 0.2953 0.2121 0.0000 
main 7.0000 1.0000 24.0000 4.0000 0.0000 4.0000 3.0000 2.0000 0.0977 0.2514 0.7542 0.0906 0.1145 b 0.3190 1.0042 1.2520 1.2437 0.2385 0.1608 0.3549 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
main 7.0000 1.0000 52.0000 7.0000 1.0000 7.0000 6.0000 0.0000 0.0000 0.2500 1.5000 0.0000 0.0000 b 0.1950 1.7500 1.1280 1.1196 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.0000 0.0000 0.0000 
main 7.0000 1.0000 57.0000 8.0000 1.0000 8.0000 7.0000 2.0000 0.0914 0.2497 1.7476 0.0906 0.1145 b 0.3690 1.9976 1.0986 1.0902 0.3169 0.1510 0.2370 0.1852 0.3135 0.1570 0.3871 0.0000 0.0000 
main 7.0000 1.0000 6.0000 5.0000 0.0000 5.0000 4.0000 2.0000 0.0974 0.2508 1.0033 0.0906 0.1145 b 0.1900 1.2533 1.2690 1.2606 0.1682 0.2615 0.1895 0.3840 0.0000 0.0000 0.0000 0.0000 0.0000 
main 7.0000 1.0000 48.0000 5.0000 0.0000 5.0000 4.0000 2.0000 0.0929 0.2488 0.9952 0.0906 0.1145 b 0.3250 1.2452 1.2897 1.2814 0.2374 0.1503 0.3745 0.2330 0.0000 0.0000 0.0000 0.0000 0.0000 
main 7.0000 1.0000 47.0000 5.0000 0.0000 5.0000 4.0000 1.0000 0.0503 0.2506 1.0024 0.0349 0.0588 b 0.4220 1.2524 1.2032 1.1949 0.2324 0.2702 0.1912 0.3086 0.0000 0.0000 0.0000 0.0000 0.0000 
main 7.0000 1.0000 34.0000 8.0000 1.0000 8.0000 7.0000 0.0000 0.0000 0.2500 1.7500 0.0000 0.0000 b 0.1530 2.0000 1.2010 1.1927 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.0000 0.0000 
main 7.0000 1.0000 5.0000 5.0000 0.0000 5.0000 4.0000 1.0000 0.0581 0.2501 1.0002 0.0349 0.0588 b 0.2630 1.2502 1.2704 1.2620 0.2780 0.3060 0.2448 0.1714 0.0000 0.0000 0.0000 0.0000 0.0000 
main 7.0000 1.0000 43.0000 4.0000 0.0000 4.0000 3.0000 0.0000 0.0000 0.2500 0.7500 0.0000 0.0000 b 0.1900 1.0000 1.4975 1.4892 0.2500 0.2500 0.2500 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
main 7.0000 1.0000 45.0000 4.0000 0.0000 4.0000 3.0000 2.0000 0.0934 0.2493 0.7478 0.0906 0.1145 b 0.1940 0.9978 1.3775 1.3691 0.2091 0.3561 0.1826 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
main 7.0000 1.0000 49.0000 6.0000 0.0000 6.0000 5.0000 0.0000 0.0000 0.2500 1.2500 0.0000 0.0000 b 0.1940 1.5000 1.3519 1.3435 0.2500 0.2500 0.2500 0.2500 0.2500 0.0000 0.0000 0.0000 0.0000 
main 7.0000 1.0000 18.0000 9.0000 1.0000 9.0000 8.0000 2.0000 0.0948 0.2504 2.0029 0.0906 0.1145 b 0.1960 2.2529 1.4787 1.4703 0.3930 0.1514 0.3319 0.1625 0.3300 0.1527 0.2063 0.2752 0.0000 
main 7.0000 1.0000 42.0000 10.0000 2.0000 10.0000 9.0000 2.0000 0.0933 0.2504 2.2534 0.0906 0.1145 b 0.6410 2.5034 1.3939 1.3856 0.1928 0.3906 0.1533 0.2208 0.1559 0.2668 0.1720 0.3303 0.3710 
main 7.0000 1.0000 62.0000 10.0000 2.0000 10.0000 9.0000 1.0000 0.0547 0.2503 2.2525 0.0349 0.0588 b 0.1930 2.5025 1.1387 1.1303 0.1886 0.2323 0.3015 0.2636 0.3324 0.2214 0.1628 0.2589 0.2910 
main 7.0000 1.0000 4.0000 5.0000 0.0000 5.0000 4.0000 0.0000 0.0000 0.2500 1.0000 0.0000 0.0000 b 0.3330 1.2500 1.1654 1.1570 0.2500 0.2500 0.2500 0.2500 0.0000 0.0000 0.0000 0.0000 0.0000 
main 7.0000 1.0000 60.0000 9.0000 1.0000 9.0000 8.0000 2.0000 0.0959 0.2494 1.9950 0.0906 0.1145 b 0.3100 2.2450 1.1750 1.1667 0.3653 0.1935 0.3546 0.1539 0.2190 0.3664 0.1898 0.1524 0.0000 
main 7.0000 1.0000 13.0000 8.0000 1.0000 8.0000 7.0000 0.0000 0.0000 0.2500 1.7500 0.0000 0.0000 b 0.1590 2.0000 1.1730 1.1646 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.0000 0.0000 
main 7.0000 1.0000 29.0000 6.0000 0.0000 6.0000 5.0000 1.0000 0.0536 0.2509 1.2543 0.0349 0.0588 b 0.2460 1.5043 1.0321 1.0238 0.1963 0.3038 0.1946 0.2588 0.3007 0.0000 0.0000 0.0000 0.0000 
main 7.0000 1.0000 41.0000 10.0000 2.0000 10.0000 9.0000 1.0000 0.0557 0.2502 2.2514 0.0349 0.0588 b 0.3290 2.5014 1.3906 1.3823 0.2821 0.2207 0.1806 0.2168 0.3146 0.1756 0.3191 0.2419 0.2999 
main 7.0000 1.0000 63.0000 10.0000 2.0000 10.0000 9.0000 2.0000 0.0942 0.2505 2.2546 0.0906 0.1145 b 0.4840 2.5046 1.0826 1.0743 0.2274 0.1722 0.3314 0.1765 0.2072 0.3840 0.1728 0.3992 0.1839 
main 7.0000 1.0000 46.0000 5.0000 0.0000 5.0000 4.0000 0.0000 0.0000 0.2500 1.0000 0.0000 0.0000 b 0.6220 1.2500 1.0439 1.0356 0.2500 0.2500 0.2500 0.2500 0.0000 0.0000 0.0000 0.0000 0.0000 
main 7.0000 1.0000 54.0000 7.0000 1.0000 7.0000 6.0000 2.0000 0.0915 0.2495 1.4972 0.0906 0.1145 b 0.3920 1.7472 1.2176 1.2093 0.1996 0.3304 0.1677 0.3947 0.2205 0.1844 0.0000 0.0000 0.0000 
main 7.0000 1.0000 33.0000 7.0000 1.0000 7.0000 6.0000 2.0000 0.0910 0.2507 1.5041 0.0906 0.1145 b 0.2980 1.7541 1.2378 1.2294 0.3692 0.2068 0.1591 0.2009 0.3625 0.2056 0.0000 0.0000 0.0000 
